Run 1: evaluations=25100 pareto_size=95 ref=(1.200000001, 1.3897714295714285) hv=1.19126 spacing=0.0124295
0, 1.15814
1, 0.0883785
0.055, 0.897414
0.416, 0.460434
0.019, 1.0043
0.037, 0.959167
0.09, 0.848735
0.102, 0.808499
0.501, 0.407776
0.338, 0.553038
0.017, 1.05011
0.007, 1.10378
0.838, 0.191877
0.399, 0.504925
0.441, 0.447421
0.036, 0.971379
0.167, 0.717615
0.187, 0.716731
0.805, 0.198484
0.121, 0.792732
\nHV stats (min, mean, max): (1.1578455128385006, 1.182323212471525, 1.2035641144380662)
Spacing stats (min, mean, max): (0.008632241215560508, 0.011826068744187622, 0.015547112574646145)
